,Afrekenen,"Anders, namelijk:",Assortiment,Klantvriendelijkheid,Prijs,Uitstraling,Weekactie,words
0,2.710835208327686e-05,3.297065611605671e-05,1.8027762754642147e-05,2.013571471719389e-05,7.421150278293135e-05,1.5307372030369826e-05,6.403688524590164e-05,aaa
1,2.710835208327686e-05,1.6485328058028356e-05,1.8027762754642147e-05,4.027142943438778e-05,3.7105751391465674e-05,1.5307372030369826e-05,3.201844262295082e-05,aachenrichterich
2,2.710835208327686e-05,1.6485328058028356e-05,1.8027762754642147e-05,2.013571471719389e-05,3.7105751391465674e-05,1.5307372030369826e-05,6.403688524590164e-05,aalen
3,2.710835208327686e-05,1.6485328058028356e-05,1.8027762754642147e-05,4.027142943438778e-05,3.7105751391465674e-05,3.061474406073965e-05,3.201844262295082e-05,aalsmeer
4,5.421670416655372e-05,1.6485328058028356e-05,1.8027762754642147e-05,2.013571471719389e-05,3.7105751391465674e-05,3.061474406073965e-05,3.201844262295082e-05,aalst
5,2.710835208327686e-05,1.6485328058028356e-05,3.6055525509284295e-05,2.013571471719389e-05,3.7105751391465674e-05,1.5307372030369826e-05,3.201844262295082e-05,ab
6,5.421670416655372e-05,3.297065611605671e-05,1.8027762754642147e-05,4.027142943438778e-05,3.7105751391465674e-05,0.00021430320842517756,3.201844262295082e-05,abandon
7,2.710835208327686e-05,1.6485328058028356e-05,1.8027762754642147e-05,2.013571471719389e-05,3.7105751391465674e-05,4.5922116091109475e-05,3.201844262295082e-05,abandonment
8,2.710835208327686e-05,6.594131223211343e-05,1.8027762754642147e-05,2.013571471719389e-05,3.7105751391465674e-05,1.5307372030369826e-05,3.201844262295082e-05,abbeville
9,5.421670416655372e-05,4.945598417408506e-05,5.4083288263926445e-05,4.027142943438778e-05,3.7105751391465674e-05,1.5307372030369826e-05,3.201844262295082e-05,ability
10,0.00043373363333242974,0.00130234091658424,0.0008292770867135388,0.00040271429434387776,0.0004452690166975881,0.0006276022532451629,0.0006403688524590163,able
11,2.710835208327686e-05,1.6485328058028356e-05,3.6055525509284295e-05,2.013571471719389e-05,3.7105751391465674e-05,1.5307372030369826e-05,3.201844262295082e-05,abn
12,2.710835208327686e-05,3.297065611605671e-05,3.6055525509284295e-05,2.013571471719389e-05,3.7105751391465674e-05,1.5307372030369826e-05,3.201844262295082e-05,abnormal
13,2.710835208327686e-05,1.6485328058028356e-05,1.8027762754642147e-05,4.027142943438778e-05,3.7105751391465674e-05,1.5307372030369826e-05,3.201844262295082e-05,abnormally
